"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "Year"
"59" 46300 67000 78300 60400 141000 19600 10600 50900 81600 104000 24900 28900 24000 26600 466000 31700 29700 61100 80200 77700 19600 18900 33800 17100 24300 48700 123000 1993
"60" 56100 81900 95300 99700 169000 32100 11600 41400 50500 92600 35200 38600 23900 34900 479000 45100 24200 63500 99600 104000 19800 28900 73400 59800 50000 120000 197000 1994
"61" 33100 43800 50400 54500 95900 8420 10700 84700 89400 90900 23100 27800 31300 32200 465000 53000 16500 29500 38600 38600 22900 12100 33700 42300 36100 78300 149000 1995
"62" 59400 102000 138000 158000 357000 27200 12400 49200 66800 105000 36800 41200 29800 50700 573000 38000 24700 34600 56000 55500 29500 12900 45500 58900 65800 121000 203000 1996
"63" 46100 61000 66000 70400 130000 18800 9380 26100 37800 92700 39200 45100 30500 37100 716000 85200 25400 53000 69300 65800 14800 18000 34700 45300 43500 66000 142000 1997
"64" 69700 98900 110000 58700 193000 26700 13800 32900 48700 92300 26800 31900 19600 36500 414000 43800 32500 54000 81900 83300 14200 20800 47200 39800 41400 83200 174000 1998
"65" 43200 71200 82900 53000 156000 21600 12900 9760 14600 58400 21000 26000 25500 33700 397000 48800 29900 58600 71500 70200 21800 24000 51600 32700 32800 87700 175000 1999
"66" 42000 59800 65700 109000 163000 23200 11400 11000 16700 76100 26400 42500 20100 31200 538000 30700 17400 30000 29800 30300 8720 4250 16000 18700 19900 30900 60400 2000
"67" 34000 43900 48600 51500 105000 10300 8890 19000 29800 89400 23000 43200 17300 20200 346000 37300 21200 34100 37000 37200 17400 6800 26300 25800 18400 37200 70600 2001
"68" 47300 74400 83400 71400 135000 17900 12500 21800 37900 58500 22700 29200 25000 36000 516000 46800 23300 39600 76500 77500 35400 25600 58600 46300 54600 117000 236000 2002
"69" 63100 69300 67200 70300 120000 27500 9420 38100 74000 106000 24200 31500 34400 35200 471000 47900 33000 79000 108000 93600 8420 33800 47500 27700 28500 54200 116000 2003
"70" 58300 105000 144000 109000 283000 34000 14600 44900 75800 93700 48400 51000 32000 57500 524000 40400 20700 56800 76100 68200 13500 17500 46900 54800 52100 102000 157000 2004
"71" 56000 76400 87300 82800 239000 25500 14700 19100 33600 69700 64400 70600 42000 65700 590000 40800 33800 78300 125000 122000 28300 37100 83700 59600 75500 150000 268000 2005
"72" 34700 52000 58400 49600 116000 11100 9810 19700 34900 82400 26100 30800 19900 32400 387000 36900 16200 29400 35400 35200 13400 13900 45700 47000 59300 111000 173000 2006
"73" 58900 87300 107000 65000 186000 23500 13000 12800 21700 84900 35300 36300 33300 44600 445000 34700 23400 49700 70200 60600 12600 29100 45800 42600 44500 98600 178000 2007
"74" 59200 86800 99000 88000 192000 27600 15000 18300 20000 78800 40800 52700 31700 64900 542000 52700 31200 71000 102000 91100 49300 25100 127000 79500 60800 132000 253000 2008
"75" 47600 70600 82100 79000 136000 18400 10800 14800 22000 68500 23200 25000 18700 27200 411000 45200 26200 57800 68600 61500 22000 17300 33900 55300 29300 72600 138000 2009
